Disease,Doctor to Consult
Congestive heart disease,Cardiologist
Hypothyroidism,Endocrinologist
Diabetes Mellitus,Endocrinologist
Aseptic meningitis,Infectious Disease Specialist/Neurologist
Hepatitis C,Hepatologist/Gastroenterologist
Alcoholic hepatitis,Hepatologist/Gastroenterologist
Dementia,Neurologist/Geriatrician
Puerperal sepsis,Obstetrician/Infectious Disease Specialist
Cavities,Dentist
Bell's Palsy,Neurologist
Stevens-Johnson syndrome,Dermatologist/Ophthalmologist/Intensivist
Quinsy,ENT Specialist (Otolaryngologist)
SIDS,Pediatrician (diagnosis after exclusion)
Cervical spondylosis,Orthopedic Surgeon/Neurologist
Genital herpes,Dermatologist/Urologist/Gynecologist/Infectious Disease Specialist
Multiple myeloma,Hematologist/Oncologist
Acne,Dermatologist
Frost Bite,Emergency Physician/Vascular Surgeon
Chicken pox,General Practitioner
Appendicitis,General Surgeon
Chikungunya Fever,Infectious Disease Specialist
Mad cow disease,Neurologist (Creutzfeldt-Jakob Disease variant)
Rheumatism,Rheumatologist
Toxic shock syndrome,Infectious Disease Specialist/Emergency Physician
SARS,Infectious Disease Specialist/Pulmonologist
Anxiety,Psychiatrist/Psychologist/General Practitioner
lactose intolerance,Gastroenterologist/General Practitioner
Diphtheria,Infectious Disease Specialist
Beriberi,General Practitioner/Neurologist
hepatitis A,Hepatologist/Gastroenterologist
Dimorphic hemmorhoids(piles),Proctologist/General Surgeon
Candidiasis,Dermatologist/Gynecologist/Infectious Disease Specialist
Syphilis,Infectious Disease Specialist/Dermatologist
Human papillomavirus,Dermatologist/Gynecologist/Urologist
Myasthenia gravis,Neurologist
Obsessive Compulsive Disorder,Psychiatrist/Psychologist
Shaken Baby Syndrome,Pediatrician/Neurologist (for diagnosis)
Food Poisoning,General Practitioner/Gastroenterologist
Turners Syndrome,Geneticist/Endocrinologist
Hypertension,Cardiologist/General Practitioner
Pericarditis,Cardiologist
Adult Inclusion Conjunctivitis,Ophthalmologist
Trichinosis,Infectious Disease Specialist
Herpes Simplex,Dermatologist/Infectious Disease Specialist
Schizophrenia,Psychiatrist
Scrub Typhus,Infectious Disease Specialist
Marburg fever,Infectious Disease Specialist
Sub-conjunctival Haemorrhage,Ophthalmologist/General Practitioner
Peptic ulcer diseae,Gastroenterologist
Ectopic pregnancy,Gynecologist/Emergency Physician
Middle East respiratory syndrome coronavirus (MERS‐CoV),Infectious Disease Specialist/Pulmonologist
Keratoconus,Ophthalmologist
Raynaud's Phenomenon,Rheumatologist/Vascular Specialist
Varicose veins,Vascular Surgeon
Chagas disease,Infectious Disease Specialist/Cardiologist
Post-herpetic neuralgia,Neurologist/Pain Management Specialist
Gaming disorder,Psychiatrist/Psychologist
Shin splints,Orthopedic Surgeon/Sports Medicine Physician
Preeclampsia,Obstetrician
Ques fever,Infectious Disease Specialist
Pulmonary embolism,Pulmonologist/Cardiologist/Emergency Physician
Bad Breath (Halitosis),Dentist/Gastroenterologist/ENT Specialist
Atrophy,Neurologist/Orthopedic Surgeon (depending on cause)
Typhoid,Infectious Disease Specialist/Gastroenterologist
Preterm birth,Obstetrician/Neonatologist
"Hand, Foot and Mouth Disease",Pediatrician/General Practitioner
Diarrhea,General Practitioner/Gastroenterologist
Acquired Immuno Deficiency Syndrome,Infectious Disease Specialist
Anisometropia,Ophthalmologist
Taeniasis,Infectious Disease Specialist/Gastroenterologist
Allergy,Allergist/Immunologist
Paralysis (brain hemorrhage),Neurologist/Neurosurgeon
Poliomyelitis,Infectious Disease Specialist/Neurologist
Acquired Capillary Haemangioma of Eyelid,Ophthalmologist
Rocky Mountain spotted fever,Infectious Disease Specialist
Varicose Veins,Vascular Surgeon
Urinary tract infection,Urologist/General Practitioner
Orbital Dermoid,Ophthalmologist
Alopecia (hair loss),Dermatologist
Hypotonia,Neurologist/Pediatrician
Shingles,Dermatologist/Infectious Disease Specialist
Sciatica,Neurologist/Orthopedic Surgeon
Leprosy,Infectious Disease Specialist/Dermatologist
Condyloma,Dermatologist/Gynecologist/Urologist
Burns,Burn Specialist/Emergency Physician
Pinguecula,Ophthalmologist
Fibromyalgia,Rheumatologist/Neurologist/Pain Management Specialist
Sarcoidosis,Pulmonologist/Rheumatologist/Dermatologist (depending on organ involvement)
Vitiligo,Dermatologist
Lung cancer,Pulmonologist/Oncologist
Chalazion,Ophthalmologist
Corneal Abrasion,Ophthalmologist
Hypermetropia,Ophthalmologist
Obesity,Endocrinologist/Dietitian/General Practitioner
Campylobacter infection,Gastroenterologist/Infectious Disease Specialist
Early pregnancy loss,Gynecologist/Obstetrician
Coronary Heart Disease,Cardiologist
Cough,General Practitioner/Pulmonologist
Amblyopia,Ophthalmologist
Aniseikonia,Ophthalmologist
Taeniasis/cysticercosis,Infectious Disease Specialist/Gastroenterologist
Tennis elbow,Orthopedic Surgeon/Physiotherapist
Amoebiasis,Gastroenterologist/Infectious Disease Specialist
Childhood Exotropia,Pediatric Ophthalmologist
Chronic obstructive pulmonary disease (COPD),Pulmonologist
Kaposi’s Sarcoma,Oncologist/Dermatologist
Eclampsia,Obstetrician/Gynecologist
Guillain-Barré syndrome,Neurologist
Brucellosis,Infectious Disease Specialist
Amaurosis Fugax,Ophthalmologist/Neurologist
Cleft Lip and Cleft Palate,Plastic Surgeon/Pediatrician
Sarcoma,Oncologist/Orthopedic Surgeon (depending on location)
Lice,General Practitioner/Dermatologist
Tinnitus,ENT Specialist (Otolaryngologist)
Fibroids,Gynecologist
Myelitis,Neurologist
Nausea and Vomiting of Pregnancy and Hyperemesis gravidarum,Obstetrician/Gynecologist
Osteoporosis,Endocrinologist/Rheumatologist
Haemophilia,Hematologist
