Symptom,Description
excessive_hunger,"Excessive hunger is an unusually strong and persistent feeling of needing to eat."
fast_heart_rate,"A fast heart rate is when the heart beats unusually quickly, often above 100 beats per minute."
blister,"A blister is a small pocket of fluid, typically clear, within the upper layers of the skin."
swollen_legs,"Swollen legs are the enlargement or puffiness of the legs due to fluid retention."
hip_joint_pain,"Hip joint pain is discomfort or an aching sensation in or around the hip joint."
yellowish_skin,"Yellowish skin is a discoloration of the skin that appears yellow, often indicating jaundice."
altered_sensorium,"Altered sensorium is a state of reduced awareness or responsiveness to one's surroundings."
breathlessness,"Breathlessness is a feeling of difficulty breathing or shortness of breath."
chills,"Chills are a sensation of coldness accompanied by shivering, often a symptom of fever."
enlarged_thyroid,"An enlarged thyroid is an increase in the size of the thyroid gland, located in the neck."
acidity,"Acidity is a burning sensation in the chest or throat caused by stomach acid flowing back up."
brittle_nails,"Brittle nails are fingernails or toenails that are prone to breaking, splitting, or chipping easily."
skin_rash,"A skin rash is an eruption on the skin, often characterized by redness, itching, or bumps."
pain_in_anal_region,"Pain in the anal region is discomfort or aching felt around the anus."
receiving_blood_transfusion,"Receiving blood transfusion refers to the medical procedure of receiving blood from a donor intravenously."
skin_peeling,"Skin peeling is the shedding or flaking of the outer layer of skin."
family_history,"Family history refers to a record of diseases or conditions that have affected a person's family members."
unsteadiness,"Unsteadiness is a feeling of imbalance or difficulty maintaining a stable posture while standing or walking."
yellow_crust_ooze,"Yellow crust ooze refers to a yellowish, crusty discharge from a skin lesion."
weakness_of_one_body_side,"Weakness of one body side is a reduced strength or paralysis affecting one side of the body."
loss_of_smell,"Loss of smell is the inability to detect odors or a reduced sense of smell."
sweating,"Sweating is the production and excretion of fluid by the sweat glands in the skin."
joint_pain,"Joint pain is discomfort or an aching sensation in one or more joints."
fluid_overload,"Fluid overload is an excess of fluid in the body, leading to swelling or difficulty breathing."
toxic_look_(typhos),"A toxic look (typhos) is a general appearance of severe illness or sepsis, often with a dull expression."
burning_micturition,"Burning micturition is a burning sensation experienced during urination."
swelling_of_stomach,"Swelling of the stomach is an enlargement or distention of the abdominal area."
throat_irritation,"Throat irritation is a feeling of scratchiness, soreness, or discomfort in the throat."
abdominal_cramp,"An abdominal cramp is a sudden, painful, involuntary contraction of muscles in the abdomen."
abdominal_distention,"Abdominal distention is the swelling or enlargement of the abdomen due to gas or fluid buildup."
abnormal_behavior,"Abnormal behavior refers to actions or conduct that deviates from typical or expected patterns."
abnormal_bleeding,"Abnormal bleeding is bleeding that is unusual in amount, duration, or timing for a given situation."
abnormal_sensation,"Abnormal sensation is any unusual feeling in the body, such as tingling, numbness, or burning, without an obvious cause."
abnormally_frequent,"Abnormally frequent refers to something occurring with unusual regularity or excessive repetition."
abscess,"An abscess is a collection of pus that has accumulated within a tissue."
aching,"Aching is a dull, continuous pain that is not sharp or intense."
acne,"Acne is a skin condition characterized by pimples, blackheads, and whiteheads."
acquiring_drinking_alcohol_taking_lot_time,"Acquiring drinking alcohol taking a lot of time refers to a person spending a significant amount of time obtaining, consuming, or recovering from alcohol."
affected_part_turning_white,"Affected part turning white is when a body part loses its natural color and appears pale or white, often due to poor circulation."
anemia,"Anemia is a condition where the blood lacks healthy red blood cells, leading to reduced oxygen transport."
arm,"Arm refers to the upper limb of the human body, from the shoulder to the hand."
attack_pain,"Attack pain refers to a sudden onset of severe or intense pain."
back,"Back refers to the posterior part of the human torso, extending from the neck to the pelvis."
bacterial_infection,"A bacterial infection is a disease caused by the growth of harmful bacteria in the body."
bad_breath,"Bad breath is an unpleasant odor emanating from the mouth."
bad_smelling_thin_vaginal_discharge,"Bad smelling thin vaginal discharge is a watery vaginal discharge with an unpleasant odor."
bad_smelling_vaginal_discharge,"Bad smelling vaginal discharge is a vaginal discharge with an unpleasant odor, often indicating an infection."
barky_cough,"A barky cough is a harsh, loud cough that sounds like a dog's bark."
belching,"Belching is the release of gas from the stomach through the mouth, also known as burping."
better_sitting_worse_lying,"Better sitting worse lying describes a condition where symptoms improve when sitting up and worsen when lying down."
birth_baby_younger_week_gestational_age,"Birth baby younger week gestational age refers to a baby born before 37 full weeks of pregnancy."
bleeding_gum,"Bleeding gum is the occurrence of blood from the gums, often during brushing or flossing."
bleeding_skin,"Bleeding skin is the presence of blood seeping from the skin's surface."
blindness,"Blindness is the inability to see, either completely or partially."
blindness_one_eye,"Blindness in one eye is the loss of vision in a single eye."
blister_sunlight,"Blister from sunlight refers to the formation of fluid-filled sacs on the skin due to sun exposure."
bloating,"Bloating is a feeling of fullness, tightness, or swelling in the abdomen, often due to gas."
blood_stool,"Blood in stool is the presence of blood in the feces, which can appear red or black."
blood_urine,"Blood in urine is the presence of blood in the urine, making it appear pink, red, or brown."
bloody_diarrhea,"Bloody diarrhea is diarrhea that contains blood."
blue,"Blue refers to a bluish discoloration of the skin or mucous membranes, often due to lack of oxygen."
bluish_skin_coloration,"Bluish skin coloration is a bluish tint to the skin, also known as cyanosis, caused by low oxygen levels."
blurred_vision,"Blurred vision is vision that is unclear or hazy, making it difficult to see details."
blurry_vision,"Blurry vision is vision that is unclear or indistinct, lacking sharpness."
body_tremor,"Body tremor is an involuntary, rhythmic shaking or trembling of a body part or the entire body."
bone_pain,"Bone pain is discomfort or aching sensation in a bone."
bowed_leg,"Bowed leg refers to a condition where the legs curve outward at the knees, resembling a bow."
breakdown_skeletal_muscle,"Breakdown of skeletal muscle is the destruction of muscle tissue, often releasing muscle components into the bloodstream."
breathing_problem,"A breathing problem is any difficulty or abnormality in the process of respiration."
burning,"Burning is a sensation of heat, stinging, or intense discomfort."
burning_redness_eye,"Burning redness of the eye is a sensation of heat and visible redness in the eye."
burning_stabbing_pain,"Burning stabbing pain is a sensation of intense, sharp pain accompanied by a burning feeling."
burning_urination,"Burning urination is a burning sensation experienced during urination."
certain_thought_repeatedly,"Certain thought repeatedly refers to recurrent, intrusive, and unwanted thoughts that are difficult to control."
change_bowel_movement,"Change in bowel movement is any noticeable difference in the frequency, consistency, or ease of passing stool."
change_breast_shape,"Change in breast shape is any alteration in the form or contour of the breasts."
change_color,"Change in color refers to an alteration in the usual hue or shade of something, such as skin or urine."
change_hair,"Change in hair refers to alterations in hair texture, thickness, color, or growth pattern."
change_reflex,"Change in reflex refers to an alteration in the involuntary responses of the nervous system."
change_skin_color_red_black,"Change in skin color (red to black) refers to a progression of skin discoloration from reddish to a darker, often purplish or blackish hue."
change_sleeping_eating_pattern,"Change in sleeping/eating pattern is a noticeable deviation from a person's usual habits of sleep and food consumption."
change_taste,"Change in taste is an alteration or loss of the ability to perceive flavors."
change_voice,"Change in voice is any alteration in the quality, pitch, or volume of a person's voice."
characteristic_facial_feature,"Characteristic facial feature refers to a distinctive or typical appearance of the face associated with a particular condition."
characteristic_rash,"A characteristic rash is a distinctive skin eruption that is typical of a specific disease."
chest_discomfort,"Chest discomfort is an uneasy or unpleasant sensation in the chest area, not necessarily pain."
chest_tightness,"Chest tightness is a feeling of pressure, constriction, or heaviness in the chest."
chill,"A chill is a sensation of coldness accompanied by shivering, often a symptom of fever."
chronic_cough,"A chronic cough is a cough that persists for a long period, typically more than 8 weeks."
chronic_pain_bladder,"Chronic pain in the bladder is persistent discomfort or pain felt in the bladder region."
clenched_fist_overlapping_finger,"Clenched fist overlapping finger describes a hand position where the fingers are tightly curled and overlap each other."
close_object_appear_blurry,"Close objects appear blurry when near vision is impaired, making it hard to see things up close."
clumsy,"Clumsy refers to being awkward in movement or handling things, often leading to accidents."
cm_lump_skin,"A cm lump on the skin is a palpable mass or swelling on the skin, measured in centimeters."
cold_sweat,"Cold sweat is a sudden perspiration that occurs when the body feels cold, often due to stress or illness."
confused_thinking,"Confused thinking is a state of muddled or disorganized thoughts, making it difficult to reason or understand."
confusion,"Confusion is a state of disorientation, impaired judgment, or difficulty thinking clearly."
coolness,"Coolness is a sensation of low temperature, often felt on the skin."
coordination,"Coordination refers to the ability to use different parts of the body together smoothly and efficiently."
cough_bloody_mucus,"Coughing bloody mucus is the expulsion of mucus mixed with blood when coughing."
cough_sputum_production,"Cough with sputum production is a cough that brings up mucus or phlegm from the respiratory tract."
coughing,"Coughing is a sudden, forceful expulsion of air from the lungs, usually to clear the throat or airways."
coughing_blood,"Coughing blood is the expulsion of blood from the respiratory tract during a cough."
coughing_including_coughing_blood,"Coughing including coughing blood means having a cough that may or may not produce blood."
coughing_mucus,"Coughing mucus is the expulsion of phlegm or sputum during a cough."
crawl,"Crawl refers to movement on hands and knees or on the belly, typically seen in infants or in certain conditions."
cry_episode,"A cry episode is a period of crying, often prolonged or intense."
dark_urine,"Dark urine is urine that appears unusually dark brown or amber, often a sign of dehydration or liver issues."
darker,"Darker refers to a deeper or more intense shade of color, such as skin discoloration."
daytime_sleepiness,"Daytime sleepiness is a persistent feeling of drowsiness or an urge to sleep during waking hours."
death_child_le_one_year_age,"Death of a child less than one year of age refers to the mortality of an infant before their first birthday."
decreased_ability_feel_pain,"Decreased ability to feel pain is a reduced sensation of pain or a higher pain threshold."
decreased_ability_see,"Decreased ability to see is a reduction in visual acuity or clarity."
decreased_ability_think,"Decreased ability to think is a decline in cognitive functions such as memory, reasoning, and problem-solving."
decreased_ability_think_remember,"Decreased ability to think and remember is a decline in cognitive functions, specifically memory and intellectual processing."
decreased_ability_turn,"Decreased ability to turn is a reduced capacity to rotate or pivot the body or a limb."
decreased_appetite,"Decreased appetite is a reduced desire to eat or a complete lack of hunger."
decreased_motivation,"Decreased motivation is a reduction in the drive or enthusiasm to initiate or sustain activities."
decreased_range_motion,"Decreased range of motion is a reduction in the normal extent of movement of a joint or body part."
decreased_taste,"Decreased taste is a reduced ability to perceive flavors."
decreased_vision,"Decreased vision is a reduction in visual acuity or clarity."
delayed_physical_growth,"Delayed physical growth is a slower than expected increase in height and weight for a child's age."
delirium,"Delirium is a state of acute confusion, disorientation, and impaired attention, often with hallucinations."
delusion,"Delusion is a fixed, false belief that is not amenable to change in light of conflicting evidence."
dementia,"Dementia is a chronic and progressive decline in cognitive function, affecting memory, thinking, and behavior."
depending_subtype_abdominal_pain,"Depending on the subtype, abdominal pain varies in location, intensity, and characteristics based on its specific cause."
depends_organ_involved,"Depends on the organ involved means the symptoms and severity are determined by which specific internal organ is affected."
depressed_mood,"A depressed mood is a persistent feeling of sadness, hopelessness, or lack of interest."
dermatitis_herpetiformis,"Dermatitis herpetiformis is a chronic, intensely itchy, blistering skin condition associated with celiac disease."
developmental_disability,"A developmental disability is a diverse group of chronic conditions that are due to mental or physical impairments."
diarrhea,"Diarrhea is the passage of loose, watery stools frequently."
diarrhea_may_bloody,"Diarrhea may be bloody refers to loose, watery stools that sometimes contain blood."
diarrhea_mixed_blood,"Diarrhea mixed with blood is loose, watery stools that are visibly streaked or mixed with blood."
difficulty_breathing,"Difficulty breathing is a sensation of shortness of breath or labored respiration."
difficulty_cutting,"Difficulty cutting refers to a reduced ability to cut food or other materials due to weakness or coordination issues."
difficulty_eating,"Difficulty eating is any problem or discomfort experienced while consuming food."
difficulty_getting_pregnant,"Difficulty getting pregnant refers to a couple's inability to conceive after a period of regular, unprotected intercourse."
difficulty_remembering_recent_event,"Difficulty remembering recent events is an impairment in recalling newly learned information or experiences."
difficulty_swallowing,"Difficulty swallowing is a sensation of food or liquid getting stuck in the throat or chest."
difficulty_walking,"Difficulty walking is any impairment or struggle in the ability to walk normally."
dimpling_skin,"Dimpling skin is the appearance of small depressions or indentations on the skin surface."
discharge_penis,"Discharge from the penis is any fluid other than urine or semen exiting the penis."
disorientation,"Disorientation is a state of confusion regarding time, place, or person."
distant_object_appear_blurry,"Distant objects appear blurry when far vision is impaired, making it hard to see things far away."
distorted_blurred_vision_distance,"Distorted and blurred vision at a distance is when distant objects appear both unclear and misshapen."
double_vision,"Double vision is seeing two images of a single object."
drinking_large_amount_alcohol_long_period,"Drinking large amounts of alcohol for a long period refers to chronic and excessive alcohol consumption over an extended time."
drooping_eyelid,"A drooping eyelid is when the upper eyelid falls or sags, covering part of the eye."
dry_cough,"A dry cough is a cough that does not produce mucus or phlegm."
dry_damp_skin,"Dry or damp skin refers to skin that feels either unusually dry or excessively moist."
dry_eye,"Dry eye is a condition where the eyes do not produce enough tears or tears evaporate too quickly, leading to dryness and irritation."
dry_mouth,"Dry mouth is a sensation of insufficient saliva in the mouth, leading to dryness."
ear_pain,"Ear pain is discomfort or aching sensation in the ear."
easy_prolonged_bleeding,"Easy prolonged bleeding refers to bleeding that occurs readily and continues for an extended duration, even from minor injuries."
emotional_problem,"An emotional problem refers to difficulties in managing or expressing emotions, often leading to distress or functional impairment."
enlarged_lymph_node_neck,"An enlarged lymph node in the neck is a swollen or palpable lymph gland located in the neck region."
enlarged_spleen,"An enlarged spleen is a condition where the spleen, an organ in the upper left abdomen, becomes larger than normal."
enlarged_thyroid,"An enlarged thyroid is an increase in the size of the thyroid gland, located in the neck."
enlargement_thyroid,"Enlargement of the thyroid is an increase in the size of the thyroid gland, also known as a goiter."
enlargement_tonsil,"Enlargement of the tonsil is an increase in the size of the tonsils, located at the back of the throat."
episode_severe,"An episode of severe symptoms refers to a distinct period of intense or very serious manifestations of a condition."
erythema_marginatum,"Erythema marginatum is a rash characterized by pink or red rings with clear centers, often seen in rheumatic fever."
excess_hair,"Excess hair is the presence of an abnormal amount of hair growth on the body."
excessive_amount_uterine_bleeding,"Excessive amount of uterine bleeding is menstrual bleeding that is unusually heavy or prolonged."
excessive_daytime_sleepiness,"Excessive daytime sleepiness is a persistent feeling of drowsiness or an urge to sleep during waking hours."
excessive_salivation,"Excessive salivation is the overproduction of saliva, leading to drooling or constant swallowing."
expanding_area_redness_site_tick_bite,"An expanding area of redness at the site of a tick bite is a spreading red rash around where a tick was attached."
extreme_sadness,"Extreme sadness is a profound and persistent feeling of sorrow or unhappiness."
extremity_weakness,"Extremity weakness is a reduced strength or power in the arms or legs."
eye_pain,"Eye pain is discomfort or an aching sensation in the eye."
eye_strain,"Eye strain is a feeling of discomfort, fatigue, or soreness in the eyes, often from overuse."
eyestrain,"Eyestrain is a feeling of discomfort, fatigue, or soreness in the eyes, often from overuse."
fast_heart_rate,"A fast heart rate is when the heart beats unusually quickly, often above 100 beats per minute."
fast_heartbeat,"A fast heartbeat is a sensation of the heart beating rapidly or pounding."
fear_water,"Fear of water is an extreme or irrational fear of water, also known as hydrophobia."
feel_need_check_thing_repeatedly,"A feel to check things repeatedly is a compulsive urge to verify certain actions or objects over and over."
feeling_cold,"Feeling cold is a subjective sensation of being unusually chilly or having a low body temperature."
feeling_faint_upon_standing,"Feeling faint upon standing is a sensation of lightheadedness or dizziness that occurs when moving from a sitting or lying position to standing."
feeling_generally_unwell,"Feeling generally unwell is a vague sense of discomfort, illness, or not being in good health."
feeling_like_passing,"Feeling like passing refers to a sensation of being about to faint or lose consciousness."
feeling_need_urinate_right_away,"Feeling the need to urinate right away is a sudden and urgent desire to empty the bladder."
feeling_tired,"Feeling tired is a sensation of weariness, low energy, or exhaustion."
feeling_tired_time,"Feeling tired all the time is a persistent and pervasive sense of fatigue or exhaustion."
fever,"A fever is an elevated body temperature, typically above 38°C (100.4°F)."
firm,"Firm refers to a solid, unyielding texture or consistency."
flat_discolored_spot_bump_may_blister,"A flat discolored spot or bump that may blister is a skin lesion that can be either a flat discoloration or a raised area, with potential for fluid-filled sacs."
flu_like_illness,"A flu-like illness is a condition presenting with symptoms similar to influenza, such as fever, body aches, and fatigue."
flu_like_symptom,"Flu-like symptoms are general symptoms resembling influenza, including fever, body aches, headache, and fatigue."
fluid_filled_blister_scab,"Fluid-filled blister with scab refers to a skin lesion that is a fluid-filled sac, which then forms a crust or scab as it heals."
fluid_nipple,"Fluid from the nipple is any discharge from the nipple other than breast milk."
frequent_infection,"Frequent infection refers to experiencing infections repeatedly or more often than usual."
frequent_urination,"Frequent urination is the need to urinate more often than usual."
fullness,"Fullness is a sensation of being replete or distended, often in the stomach or bladder."
gas,"Gas refers to the presence of air or other gases in the digestive system, causing bloating or flatulence."
gradual_loss_coordination,"Gradual loss of coordination is a slow and progressive decline in the ability to move body parts smoothly and precisely."
growth_delay,"Growth delay is a slower than expected rate of physical development in a child."
gum_disease,"Gum disease is an inflammatory condition affecting the gums and supporting structures of the teeth."
hair_loss,"Hair loss is the decrease in the amount of hair on the scalp or body."
half_ring_finger,"Half ring finger refers to a condition affecting the ring finger, possibly involving sensation or movement."
hallucination,"Hallucination is the perception of a sensory experience that does not exist in reality."
hallucination_usually_hearing_voice,"Hallucination, usually hearing voices, is a perception of sounds or voices that are not actually present."
hard_swelling_skin,"Hard swelling on the skin is a firm, raised area on the skin that is enlarged."
hard_time_reading_small_print,"Hard time reading small print is difficulty deciphering small text, often indicating presbyopia or other vision issues."
hearing_loss,"Hearing loss is a partial or complete inability to hear sounds."
hearing_sound_external_sound_present,"Hearing sound when no external sound is present is the perception of sounds, such as ringing or buzzing, without an external source."
heartburn,"Heartburn is a burning sensation in the chest, often behind the breastbone, caused by stomach acid reflux."
heat_intolerance,"Heat intolerance is an unusual sensitivity to heat, leading to discomfort or symptoms like excessive sweating or fatigue."
heavy_period,"A heavy period is menstrual bleeding that is unusually profuse or prolonged."
high_blood_pressure,"High blood pressure is a condition where the force of blood against artery walls is consistently too high."
high_body_temperature,"High body temperature is an elevated core body temperature, typically indicative of fever."
hoarse_voice,"A hoarse voice is a rough, raspy, or strained quality of the voice."
hold_reading_material_farther_away,"Holding reading material farther away is a common sign of presbyopia, where close-up vision declines."
impaired_communication,"Impaired communication is difficulty in conveying or understanding messages effectively."
inability_child,"Inability of a child refers to a child's incapacity to perform certain age-appropriate tasks or functions."
inability_move_facial_muscle_one_side,"Inability to move facial muscles on one side is paralysis or weakness affecting one half of the face."
inability_move_feel_one_side_body,"Inability to move or feel on one side of the body is paralysis or sensory loss affecting one half of the body."
increased_breath_rate,"Increased breath rate is an abnormally fast rate of breathing."
increased_breathing_rate,"Increased breathing rate is an abnormally fast rate of respiration."
increased_fat,"Increased fat refers to an excessive accumulation of adipose tissue in the body."
increased_heart_rate,"Increased heart rate is an abnormally fast heart beat."
increased_hunger,"Increased hunger is an unusually strong or persistent feeling of needing to eat."
increased_risk_broken_bone,"Increased risk of broken bones means a higher likelihood of experiencing bone fractures."
increased_risk_infection,"Increased risk of infection means a higher susceptibility to developing infections."
increased_thirst,"Increased thirst is an unusually strong and persistent desire to drink fluids."
increasing_weakening,"Increasing weakening refers to a progressive decline in strength or resilience."
index,"Index can refer to the second digit of the hand, or a numerical scale for measurement."
infertility,"Infertility is the inability to conceive a child after a specified period of unprotected intercourse."
inflamed_eye,"An inflamed eye is an eye that is red, swollen, or irritated due to inflammation."
insomnia,"Insomnia is difficulty falling asleep, staying asleep, or getting restful sleep."
intellectual_disability,"Intellectual disability is a condition characterized by significant limitations both in intellectual functioning and in adaptive behavior."
involuntary_muscle_movement,"Involuntary muscle movement is muscle contraction that occurs without conscious control."
involuntary_sleep_episode,"Involuntary sleep episode is a sudden and uncontrollable urge to fall asleep."
irregular_edge,"An irregular edge refers to a border or margin that is uneven, jagged, or not smooth."
irregular_menstrual_period,"An irregular menstrual period is a menstrual cycle that deviates from the typical pattern in terms of length, flow, or timing."
irregular_menstruation,"Irregular menstruation refers to irregularities in the menstrual cycle, such as unusual bleeding or pain."
irritation,"Irritation is a state of discomfort, soreness, or agitation."
itchiness,"Itchiness is an unpleasant sensation on the skin that provokes a desire to scratch."
itching_genital_area,"Itching in the genital area is an uncomfortable sensation in the private regions that prompts scratching."
itching_result_trouble_sleeping,"Itching resulting in trouble sleeping is an itchy sensation that is severe enough to disrupt sleep."
itchy,"Itchy is an unpleasant sensation on the skin that provokes a desire to scratch."
itchy_blister,"An itchy blister is a fluid-filled sac on the skin that causes an irritating sensation."
itchy_bump,"An itchy bump is a raised area on the skin that causes an irritating sensation."
itchy_ear,"Itchy ear is an irritating sensation inside or around the ear that provokes scratching."
jaundice,"Jaundice is a yellow discoloration of the skin and whites of the eyes caused by excess bilirubin."
jaw,"Jaw refers to the bone that forms the framework of the mouth and holds the teeth."
jerky_body_movement,"Jerky body movement is a sudden, irregular, and often uncontrolled movement of the body or limbs."
joint_bone_pain,"Joint and bone pain is discomfort or aching sensation in both the joints and the bones."
joint_swelling,"Joint swelling is the enlargement or puffiness around a joint due to fluid buildup or inflammation."
large_amount_watery_diarrhea,"Large amount of watery diarrhea is the frequent passage of a significant volume of very loose, liquid stools."
large_forehead,"A large forehead is a forehead that appears unusually prominent or high."
large_lymph_node,"A large lymph node is a swollen or palpable lymph gland."
